"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"ADANIENSOL","1,079.90","1,160.40","1,079.30","1,078.75","1,154.00","-","75.25","6.98","79,33,292","901.21","1,160.40","744.90","13.85","37.81"
"KOTAKBANK","373.50","379.15","372.35","371.90","375.00","-","3.10","0.83","2,37,51,660","892.97","460.38","345.50","-4.30","-8.66"
"BAJFINANCE","915.75","927.30","912.30","903.25","922.00","-","18.75","2.08","94,91,544","873.83","1,102.50","787.90","-1.89","5.54"
"DIXON","10,611.00","10,890.00","10,600.00","10,625.50","10,657.00","-","31.50","0.30","7,94,189","852.41","18,471.00","9,600.00","-2.30","-19.77"
"POWERINDIA","27,680.00","28,510.00","27,525.00","27,315.00","28,370.00","-","1,055.00","3.86","3,01,315","845.21","28,510.00","11,298.00","12.47","149.88"
"MCX","2,680.00","2,708.80","2,622.90","2,657.50","2,665.00","-","7.50","0.28","31,65,287","841.38","2,708.80","1,013.97","3.37","155.22"
"SHRIRAMFIN","1,016.10","1,031.00","1,011.25","996.30","1,026.55","-","30.25","3.04","80,48,521","823.84","1,108.00","566.50","-3.42","64.37"
"ADANIGREEN","1,044.50","1,087.75","1,040.50","1,044.55","1,085.20","-","40.65","3.89","73,32,980","784.60","1,177.55","765.00","26.64","26.08"
"WAAREEENER","3,268.00","3,320.00","3,200.00","3,232.30","3,281.50","-","49.20","1.52","22,65,005","738.35","3,865.00","2,072.20","23.56","52.67"
"ATHERENERG","835.00","875.45","830.35","820.25","857.80","-","37.55","4.58","84,55,968","721.56","875.45","288.15","23.29","-"
"BAJAJ-AUTO","9,400.00","9,844.00","9,399.50","9,517.00","9,830.50","-","313.50","3.29","7,38,971","719.01","10,187.00","7,460.50","2.29","29.82"
"ASIANPAINT","2,267.70","2,376.90","2,267.70","2,269.60","2,356.00","-","86.40","3.81","30,18,178","709.97","2,985.70","2,115.00","3.32","-2.29"
"TMCV","433.00","446.25","430.35","425.60","443.50","-","17.90","4.21","1,59,53,966","700.46","509.00","306.30","-3.41","-"
"TITAN","4,430.10","4,523.90","4,425.10","4,439.80","4,496.50","-","56.70","1.28","15,65,192","700.27","4,523.90","3,090.70","6.55","41.66"
"ASHOKLEY","172.90","178.38","172.13","170.38","177.99","-","7.61","4.47","3,92,93,953","693.26","215.42","99.75","-8.04","73.92"
"LODHA","790.00","842.00","790.00","789.55","825.85","-","36.30","4.60","82,71,085","684.37","1,531.00","650.80","-8.44","-25.68"
"CUMMINSIND","4,961.00","5,154.90","4,908.60","4,907.40","5,139.00","-","231.60","4.72","13,08,552","660.48","5,154.90","2,690.00","8.92","84.76"
"MARUTI","13,650.00","13,797.00","13,590.00","13,589.00","13,689.00","-","100.00","0.74","4,71,921","647.18","17,370.00","11,289.00","-1.28","19.48"
"GRSE","2,539.90","2,641.00","2,526.00","2,523.60","2,540.30","-","16.70","0.66","23,21,199","598.06","3,538.40","1,513.10","1.13","62.18"
"HINDALCO","995.35","995.55","978.65","985.65","990.00","-","4.35","0.44","60,13,190","593.51","1,029.80","552.20","3.49","75.53"
"ADANIPORTS","1,442.00","1,478.10","1,438.30","1,447.40","1,474.10","-","26.70","1.84","40,26,881","589.51","1,584.00","1,112.00","3.51","30.24"
"INDIGO","4,490.00","4,578.00","4,460.00","4,449.10","4,569.30","-","120.20","2.70","12,96,004","586.39","6,232.50","3,895.20","4.31","-12.02"
"TATASTEEL","207.98","209.00","204.80","205.20","206.85","-","1.65","0.80","2,83,85,501","585.68","216.45","125.30","6.08","62.64"
"NTPC","381.20","384.45","372.05","378.65","380.15","-","1.50","0.40","1,49,53,758","566.13","394.50","315.55","0.76","8.82"
"HFCL","80.40","84.80","80.24","79.61","84.00","-","4.39","5.51","6,57,13,388","546.41","93.96","59.82","20.33","11.91"
"ABB","6,642.00","6,905.50","6,612.50","6,614.00","6,849.00","-","235.00","3.55","7,98,909","542.72","6,905.50","4,637.50","10.03","36.00"
"ITC","303.00","305.40","302.60","303.00","304.15","-","1.15","0.38","1,77,44,386","539.54","444.20","287.00","-1.59","-26.94"
"HAL","4,068.00","4,138.60","4,063.00","4,032.90","4,107.10","-","74.20","1.84","12,81,358","526.01","5,165.00","3,479.10","1.66","1.90"
"EICHERMOT","7,201.00","7,435.50","7,201.00","7,147.50","7,415.50","-","268.00","3.75","7,05,365","519.02","8,230.00","5,182.35","-1.61","41.02"
"TVSMOTOR","3,761.00","3,850.50","3,755.00","3,727.10","3,825.50","-","98.40","2.64","13,31,891","507.69","3,970.00","2,417.10","1.07","54.55"
"COFORGE","1,271.00","1,272.00","1,213.00","1,264.90","1,223.00","-","-41.90","-3.31","40,67,185","499.16","1,994.00","1,008.10","7.36","-3.30"
"MAZDOCK","2,450.10","2,530.50","2,450.10","2,435.50","2,469.00","-","33.50","1.38","20,03,885","498.28","3,775.00","2,057.40","-0.53","4.12"
"HCLTECH","1,452.00","1,457.60","1,421.10","1,464.90","1,451.00","-","-13.90","-0.95","34,50,066","496.34","1,780.10","1,297.70","6.57","5.14"
"NATIONALUM","414.50","418.50","405.20","412.35","418.00","-","5.65","1.37","1,19,70,802","493.35","431.50","140.50","7.52","191.39"
"ULTRACEMCO","11,500.00","11,643.00","11,476.00","11,448.00","11,608.00","-","160.00","1.40","4,20,339","486.68","13,110.00","10,325.00","-0.39","1.85"
"PERSISTENT","5,470.70","5,470.70","5,302.50","5,471.10","5,428.00","-","-43.10","-0.79","9,04,088","486.05","6,599.00","4,341.45","12.43","23.29"
"BEL","444.10","447.45","440.45","439.75","442.30","-","2.55","0.58","1,08,33,065","480.16","473.45","276.60","-4.54","57.88"
"GVT&D","3,956.00","4,125.00","3,949.90","3,911.30","4,080.00","-","168.70","4.31","11,63,880","473.03","4,344.00","1,254.00","5.85","214.58"
"TRENT","3,880.00","3,969.00","3,871.30","3,850.70","3,927.00","-","76.30","1.98","11,86,264","464.95","6,261.00","3,275.50","5.70","-15.00"
"HEROMOTOCO","5,297.00","5,484.50","5,295.50","5,284.00","5,456.50","-","172.50","3.26","8,55,903","463.30","6,388.50","3,538.00","-4.46","51.11"
"HINDUNILVR","2,133.20","2,170.00","2,121.40","2,133.20","2,166.10","-","32.90","1.54","21,44,484","461.68","2,750.00","2,022.50","-1.10","-7.83"
"PFC","431.00","438.80","426.40","428.05","435.00","-","6.95","1.62","1,04,59,717","452.34","444.10","329.90","5.54","10.45"
"KAYNES","3,870.00","3,917.50","3,841.00","3,851.50","3,894.70","-","43.20","1.12","11,56,643","449.47","7,705.00","3,294.90","1.38","-19.42"
"COCHINSHIP","1,436.00","1,502.20","1,435.00","1,423.90","1,460.00","-","36.10","2.54","30,28,553","446.41","2,545.00","1,187.00","-0.99","7.36"
"ATGL","552.95","585.60","551.40","549.90","582.00","-","32.10","5.84","76,76,199","441.93","798.00","462.80","23.19","0.45"
"IDEA","9.18","9.39","9.17","9.12","9.26","-","0.14","1.54","46,86,83,513","434.00","12.80","6.12","-7.49","30.61"
"BHEL","279.00","286.18","278.99","277.20","283.79","-","6.59","2.38","1,50,13,291","425.18","305.90","205.12","9.72","33.98"
"BPCL","297.40","303.20","296.20","297.35","300.00","-","2.65","0.89","1,38,53,270","415.24","391.65","266.60","-7.95","4.18"
"FORCEMOT","22,471.00","22,741.00","21,806.00","22,168.00","22,570.00","-","402.00","1.81","1,84,572","412.31","26,450.00","8,370.00","1.39","166.44"
"ANGELONE","281.49","287.90","279.54","281.80","281.20","-","-0.60","-0.21","1,44,03,261","408.76","328.50","208.63","24.81","26.19"
"POWERGRID","301.10","303.50","299.75","298.10","301.60","-","3.50","1.17","1,32,45,074","399.64","322.00","250.00","0.99","2.79"
"OLECTRA","1,139.90","1,230.00","1,134.40","1,131.30","1,183.00","-","51.70","4.57","33,40,160","398.64","1,714.20","866.60","26.86","8.54"
"MAXHEALTH","954.95","959.45","941.50","954.95","957.00","-","2.05","0.21","40,11,184","381.33","1,314.30","903.00","-8.25","-14.79"
"GODREJPROP","1,738.00","1,751.10","1,705.60","1,695.50","1,721.30","-","25.80","1.52","22,02,543","380.57","2,506.50","1,434.00","2.74","-12.77"
"POLYCAB","7,632.50","7,804.00","7,632.50","7,607.00","7,700.00","-","93.00","1.22","4,90,409","379.38","8,722.00","4,890.00","-0.30","53.85"
"ONGC","288.60","291.85","284.55","288.60","286.70","-","-1.90","-0.66","1,28,89,209","371.36","293.00","220.26","6.50","29.18"
"CHOLAFIN","1,548.00","1,584.50","1,544.90","1,533.10","1,581.50","-","48.40","3.16","23,40,856","369.08","1,831.50","1,299.40","-2.49","10.55"
"NAUKRI","1,004.90","1,004.90","966.80","1,002.40","992.00","-","-10.40","-1.04","37,04,112","363.15","1,550.00","930.50","1.58","-22.58"
"TMPV","336.60","343.80","335.00","333.25","343.00","-","9.75","2.93","1,06,66,149","362.18","744.00","294.30","-0.64","-41.16"
"DLF","569.95","576.00","564.20","562.95","569.05","-","6.10","1.08","62,81,265","358.24","886.80","489.40","-2.65","-7.15"
"ADANIENT","2,043.10","2,094.60","2,041.70","2,040.50","2,087.20","-","46.70","2.29","17,00,162","353.07","2,616.50","1,753.00","4.54","-3.89"
"CDSL","1,290.00","1,309.00","1,286.80","1,279.30","1,305.00","-","25.70","2.01","25,34,434","329.40","1,828.90","1,116.30","4.46","13.81"
"APOLLOHOSP","7,500.00","7,563.00","7,461.50","7,481.50","7,519.50","-","38.00","0.51","4,37,163","329.04","8,099.50","6,665.00","-3.63","10.03"
"AMBER","6,998.50","7,290.50","6,972.50","6,888.50","7,250.00","-","361.50","5.25","4,56,304","327.48","8,626.00","5,400.50","-3.43","17.71"
"NETWEB","3,364.70","3,438.00","3,330.00","3,340.10","3,343.00","-","2.90","0.09","9,63,817","326.48","4,479.00","1,397.10","0.57","135.01"
"PRESTIGE","1,329.10","1,353.50","1,313.50","1,319.40","1,325.90","-","6.50","0.49","23,99,257","319.84","1,814.00","1,063.00","1.42","22.83"
"BOSCHLTD","36,990.00","37,670.00","36,850.00","36,770.00","37,300.00","-","530.00","1.44","83,719","312.30","41,945.00","26,077.35","16.27","42.46"
"DATAPATTNS","3,390.00","3,473.90","3,256.50","3,369.40","3,274.20","-","-95.20","-2.83","9,25,712","309.42","3,609.50","1,605.00","-4.87","101.16"
"MOTHERSON","118.00","122.55","117.00","116.90","122.10","-","5.20","4.45","2,53,78,911","305.99","136.15","74.67","-1.06","62.07"
"SUZLON","44.48","45.65","44.38","44.23","45.59","-","1.36","3.07","6,73,32,752","303.27","74.30","38.19","9.99","-10.97"
"MUTHOOTFIN","3,496.00","3,579.90","3,496.00","3,475.20","3,568.10","-","92.90","2.67","8,50,055","301.56","4,149.50","1,965.00","8.68","66.74"
"ICICIAMC","3,275.00","3,430.00","3,192.00","3,251.10","3,400.00","-","148.90","4.58","9,02,003","299.29","3,430.00","2,530.00","10.25","-"
"LUPIN","2,301.60","2,336.40","2,290.10","2,295.10","2,333.80","-","38.70","1.69","12,68,810","294.99","2,377.60","1,836.80","-0.15","21.57"
"TECHM","1,461.00","1,461.00","1,426.00","1,461.60","1,438.90","-","-22.70","-1.55","20,45,026","293.69","1,854.00","1,264.35","7.65","13.05"
"CANBK","139.83","140.62","139.04","137.91","140.16","-","2.25","1.63","2,09,16,386","292.72","162.89","87.15","-1.48","58.52"
"JIOFIN","240.70","243.80","240.00","238.84","243.48","-","4.64","1.94","1,20,39,959","292.19","338.60","218.25","3.17","10.21"
"BANKBARODA","277.43","278.65","273.65","274.24","276.43","-","2.19","0.80","1,05,43,042","290.94","325.50","212.55","-6.10","20.08"
"PAYTM","1,104.90","1,126.00","1,092.65","1,097.95","1,120.00","-","22.05","2.01","25,08,817","279.88","1,381.80","789.00","7.63","38.07"
"GODFRYPHLP","2,076.30","2,118.10","2,059.10","2,034.80","2,098.60","-","63.80","3.14","13,32,260","278.34","3,947.00","1,832.10","1.94","-9.04"
"SAMMAANCAP","154.75","156.95","153.01","153.55","155.00","-","1.45","0.94","1,72,23,404","267.69","192.95","103.50","6.87","46.28"
"HDFCLIFE","595.00","605.45","590.50","591.20","604.50","-","13.30","2.25","43,85,843","263.36","820.75","555.10","-7.86","-11.73"
"BHARATFORG","1,751.00","1,805.00","1,751.00","1,739.40","1,795.10","-","55.70","3.20","14,62,504","261.47","1,935.50","940.75","-2.56","85.09"
"SONACOMS","528.80","559.85","526.15","523.05","554.50","-","31.45","6.01","47,35,536","260.18","559.85","402.30","8.35","36.09"
"CIPLA","1,225.40","1,239.00","1,220.80","1,224.40","1,230.80","-","6.40","0.52","20,86,385","257.04","1,673.00","1,165.70","-7.70","-13.05"
"HINDCOPPER","527.85","536.00","526.30","522.30","530.00","-","7.70","1.47","47,31,141","251.51","760.05","187.37","-3.45","170.08"
"FEDERALBNK","284.00","292.75","284.00","283.30","292.60","-","9.30","3.28","86,40,231","250.02","302.00","183.15","6.01","54.03"
"MEESHO","167.10","169.66","161.51","165.47","164.00","-","-1.47","-0.89","1,51,29,281","249.24","254.40","125.56","16.88","-"
"LENSKART","517.00","550.00","517.00","514.40","547.15","-","32.75","6.37","45,98,082","248.78","550.00","356.10","6.34","-"
"SAIL","165.00","166.80","162.66","163.35","166.01","-","2.66","1.63","1,50,81,386","248.41","169.00","101.13","10.79","58.15"
"VBL","425.80","434.00","425.05","422.90","432.45","-","9.55","2.26","57,31,496","246.98","568.50","381.00","-0.93","-19.95"
"UNIONBANK","187.90","189.97","186.56","184.69","189.10","-","4.41","2.39","1,29,59,457","244.34","205.49","114.50","1.50","61.97"
"POLICYBZR","1,499.30","1,528.00","1,492.30","1,493.30","1,512.00","-","18.70","1.25","16,10,123","243.17","1,978.00","1,364.00","3.00","2.92"
"TATAPOWER","396.50","401.35","394.90","394.70","399.50","-","4.80","1.22","60,96,752","242.70","418.45","342.50","4.77","11.51"
"ANANDRATHI","3,598.00","3,603.70","3,450.00","3,553.70","3,589.00","-","35.30","0.99","6,83,488","241.59","3,603.70","1,641.00","13.73","102.91"
"HDFCAMC","2,533.90","2,626.20","2,530.10","2,515.00","2,616.80","-","101.80","4.05","9,19,481","239.10","2,967.25","1,887.50","3.24","37.73"
"MPHASIS","2,415.10","2,415.10","2,276.20","2,385.30","2,329.00","-","-56.30","-2.36","10,26,126","238.00","3,037.20","2,013.00","5.76","9.98"
"AEGISLOG","612.00","656.50","611.65","605.60","633.10","-","27.50","4.54","37,25,391","237.96","946.50","576.10","-2.05","-18.00"
"DRREDDY","1,212.80","1,236.80","1,208.80","1,211.90","1,229.70","-","17.80","1.47","19,31,448","237.14","1,379.70","1,061.65","-6.46","12.40"
"POONAWALLA","395.00","413.40","394.00","401.75","400.10","-","-1.65","-0.41","58,00,292","232.94","570.40","346.75","-5.69","13.58"
"HINDPETRO","361.00","366.90","357.05","358.00","361.00","-","3.00","0.84","63,47,879","229.04","508.45","316.20","-6.80","-4.82"
"PGEL","486.40","503.85","484.15","479.80","487.00","-","7.20","1.50","46,08,168","225.98","1,008.00","436.55","-10.49","-42.80"
"RECLTD","349.00","354.30","345.90","346.80","349.45","-","2.65","0.76","64,38,338","224.96","448.00","304.05","4.50","-10.27"
"HINDZINC","565.20","568.00","557.00","558.50","565.20","-","6.70","1.20","39,22,334","220.54","733.00","397.15","-4.20","41.09"
"SWIGGY","274.10","280.75","273.40","271.90","276.00","-","4.10","1.51","79,21,618","219.03","474.00","256.70","-6.33","-18.76"
"PIDILITIND","1,354.20","1,365.00","1,336.00","1,347.40","1,362.00","-","14.60","1.08","16,10,183","217.49","1,574.95","1,259.00","-4.60","-7.34"
"GAIL","153.49","154.98","151.91","152.22","154.10","-","1.88","1.24","1,40,99,404","215.81","202.79","134.36","2.54","-8.74"
"TEJASNET","445.15","461.50","440.25","439.25","442.15","-","2.90","0.66","46,80,364","210.42","914.40","294.00","-4.79","-45.25"
"ITI","296.00","298.08","290.15","297.39","291.40","-","-5.99","-2.01","71,60,762","210.38","372.85","236.50","13.47","15.43"
"RVNL","274.01","282.50","273.45","272.83","275.52","-","2.69","0.99","75,66,878","209.87","447.80","248.00","-2.85","-18.40"
"SIEMENS","3,234.40","3,402.40","3,232.00","3,222.50","3,390.00","-","167.50","5.20","6,25,209","209.63","3,440.00","2,667.80","3.51","24.82"
"IRFC","98.90","102.20","98.66","98.49","100.39","-","1.90","1.93","2,07,58,984","208.96","148.95","87.00","-0.32","-18.42"
"JSWSTEEL","1,210.00","1,224.80","1,203.90","1,209.70","1,212.00","-","2.30","0.19","17,19,725","208.72","1,284.70","935.00","-0.19","28.18"
"INDUSTOWER","438.00","443.20","433.85","438.45","437.10","-","-1.35","-0.31","46,87,274","205.56","481.50","312.55","-1.87","17.94"
"URBANCO","128.90","136.90","128.50","127.14","135.72","-","8.58","6.75","1,53,27,362","204.25","201.18","100.70","23.75","-"
"DIVISLAB","5,931.00","6,130.00","5,931.00","5,952.50","6,120.00","-","167.50","2.81","3,34,871","202.94","7,071.50","5,231.60","-3.95","13.62"
"LICI","800.55","814.40","796.10","793.40","799.65","-","6.25","0.79","25,09,399","201.55","980.00","721.50","-2.65","4.16"
"UNITDSPR","1,256.70","1,270.70","1,246.90","1,249.70","1,266.00","-","16.30","1.30","15,92,029","200.26","1,645.00","1,210.80","-10.03","-12.79"
"NMDC","85.00","86.30","83.91","84.44","85.06","-","0.62","0.73","2,33,42,535","198.13","86.72","59.53","6.77","38.74"
"JINDALSTEL","1,207.00","1,223.10","1,196.50","1,199.60","1,220.60","-","21.00","1.75","16,32,332","197.18","1,272.10","770.00","2.81","55.12"
"IOC","142.26","144.10","141.91","141.67","143.00","-","1.33","0.94","1,36,81,094","195.64","188.96","128.78","-10.59","8.65"
"PNB","110.28","112.30","110.28","109.59","111.72","-","2.13","1.94","1,74,78,112","194.86","135.15","89.45","-4.94","16.67"
"INDIANB","950.00","972.00","947.00","941.85","970.00","-","28.15","2.99","20,24,925","194.26","1,000.00","524.45","4.33","84.08"
"DMART","4,415.60","4,437.10","4,348.30","4,415.60","4,395.20","-","-20.40","-0.46","4,41,927","193.95","4,949.50","3,529.00","11.36","6.18"
"LAURUSLABS","1,091.10","1,109.00","1,079.60","1,083.70","1,098.00","-","14.30","1.32","17,69,594","193.73","1,141.00","551.00","5.78","94.59"
"NAM-INDIA","920.00","961.00","912.25","908.65","960.00","-","51.35","5.65","20,20,947","190.59","1,009.00","522.00","9.45","82.25"
"APARINDS","10,899.50","11,439.50","10,826.00","10,767.00","11,329.50","-","562.50","5.22","1,68,276","188.71","11,648.00","4,740.00","13.34","135.18"
"KALYANKJIL","447.00","451.55","442.25","446.10","448.65","-","2.55","0.57","41,95,837","187.94","617.70","347.50","14.20","-9.19"
"SRF","2,406.40","2,479.40","2,404.90","2,399.80","2,470.20","-","70.40","2.93","7,66,761","187.93","3,325.00","2,355.00","-4.87","-9.99"
"LTM","4,567.20","4,567.20","4,415.00","4,572.00","4,495.00","-","-77.00","-1.68","4,20,616","187.88","6,429.50","4,000.00","3.98","9.42"
"BRITANNIA","5,500.00","5,570.00","5,405.00","5,475.00","5,565.50","-","90.50","1.65","3,39,513","187.15","6,336.00","5,149.50","-6.74","4.23"
"ZEEL","79.70","84.00","79.40","79.20","81.90","-","2.70","3.41","2,27,40,187","186.45","151.70","68.00","1.87","-21.26"
"VOLTAS","1,299.70","1,319.00","1,280.50","1,283.90","1,311.40","-","27.50","2.14","14,19,604","185.11","1,582.50","1,186.80","-9.49","2.63"
"SHREECEM","23,990.00","24,495.00","23,940.00","23,990.00","24,225.00","-","235.00","0.98","75,983","184.83","32,490.00","22,550.00","1.11","-20.23"
"AUBANK","963.00","986.25","963.00","963.00","980.00","-","17.00","1.77","18,70,250","183.31","1,039.20","540.00","4.42","76.80"
"ASTRAL","1,577.00","1,639.60","1,567.60","1,563.70","1,625.00","-","61.30","3.92","11,27,663","182.23","1,768.70","1,245.60","-2.15","28.37"
"GMRAIRPORT","94.99","96.00","94.39","94.53","95.35","-","0.82","0.87","1,90,62,866","181.80","110.36","79.92","-0.19","11.07"
"MRF","1,34,800.00","1,37,600.00","1,34,420.00","1,34,020.00","1,36,800.00","-","2,780.00","2.07","13,197","180.46","1,63,600.00","1,11,300.20","-0.35","20.94"
"BAJAJFINSV","1,777.80","1,814.90","1,776.10","1,767.70","1,809.50","-","41.80","2.36","9,83,497","177.29","2,195.00","1,597.00","-3.12","-4.55"
"MARICO","753.40","764.00","748.60","747.35","763.00","-","15.65","2.09","23,36,600","177.23","813.50","675.50","-3.41","10.03"
"CHENNPETRO","969.65","993.00","960.00","983.35","974.60","-","-8.75","-0.89","17,96,610","174.65","1,103.00","587.10","4.84","60.61"
"PHOENIXLTD","1,716.80","1,775.00","1,712.60","1,709.90","1,752.50","-","42.60","2.49","9,91,843","173.95","1,993.00","1,402.50","9.16","17.16"
"MFSL","1,615.00","1,664.60","1,607.50","1,607.40","1,650.60","-","43.20","2.69","10,46,318","172.56","1,892.50","1,127.70","-4.77","41.74"
"TATACONSUM","1,086.10","1,095.80","1,079.00","1,078.00","1,093.80","-","15.80","1.47","15,80,158","172.34","1,220.90","1,007.20","-0.52","0.37"
"NESTLEIND","1,230.80","1,252.30","1,229.10","1,228.70","1,250.00","-","21.30","1.73","13,58,310","168.52","1,340.40","1,084.70","0.71","6.62"
"GRASIM","2,750.00","2,779.10","2,727.20","2,740.50","2,756.70","-","16.20","0.59","6,11,392","167.80","2,979.00","2,502.50","0.47","7.78"
"PAGEIND","35,640.00","36,480.00","35,500.00","35,950.00","36,115.00","-","165.00","0.46","46,384","167.65","50,590.00","29,805.00","14.52","-15.50"
"BDL","1,338.00","1,362.00","1,332.00","1,325.50","1,345.00","-","19.50","1.47","12,16,787","164.19","2,096.60","1,086.00","-2.85","4.60"
"RBLBANK","319.00","326.80","318.70","317.70","321.00","-","3.30","1.04","50,58,997","163.79","340.40","165.05","4.09","90.31"
"ABCAPITAL","336.70","342.95","336.60","334.55","341.85","-","7.30","2.18","48,07,226","163.77","369.30","180.40","2.81","87.88"
"LTF","274.90","279.80","273.80","272.18","278.49","-","6.31","2.32","58,71,745","162.44","329.45","149.10","1.62","81.62"
"JPPOWER","16.90","17.52","16.85","16.81","17.21","-","0.40","2.38","9,39,80,770","161.65","27.70","12.52","27.29","19.27"
"AMBUJACEM","437.00","447.00","435.25","434.05","446.00","-","11.95","2.75","35,76,120","158.05","624.95","394.00","-3.48","-18.58"
"YESBANK","19.00","19.20","19.00","18.93","19.11","-","0.18","0.95","8,23,18,770","157.15","24.30","16.90","-4.02","11.36"
"BELRISE","204.25","209.04","203.17","202.23","206.00","-","3.77","1.86","75,78,375","156.08","209.04","89.15","6.27","-"
"JUBLFOOD","430.00","446.85","428.75","427.85","445.00","-","17.15","4.01","35,24,006","155.31","727.95","408.80","-7.74","-35.04"
"EMMVEE","225.00","242.55","225.00","224.71","231.00","-","6.29","2.80","65,74,788","154.25","248.40","171.51","12.23","-"
"CGPOWER","727.15","735.60","720.00","720.60","728.60","-","8.00","1.11","20,96,526","152.59","797.55","525.50","0.05","32.23"
"RPOWER","24.68","25.68","24.62","24.62","25.29","-","0.67","2.72","5,91,27,901","149.53","76.49","20.17","11.36","-35.15"
"ABREL","1,303.20","1,397.00","1,290.10","1,289.40","1,360.10","-","70.70","5.48","10,96,732","149.11","2,537.90","1,080.10","15.64","-20.64"
"SBILIFE","1,914.90","1,950.60","1,914.30","1,904.00","1,920.10","-","16.10","0.85","7,63,543","147.59","2,132.00","1,475.00","-2.22","29.59"
"TORNTPHARM","4,116.90","4,160.00","4,074.60","4,094.50","4,146.00","-","51.50","1.26","3,54,702","146.53","4,482.90","3,101.60","-6.36","32.60"
"GLENMARK","2,173.90","2,198.90","2,148.90","2,169.10","2,163.50","-","-5.60","-0.26","6,69,385","145.20","2,297.90","1,336.00","-2.80","57.20"
"SOLARINDS","14,039.00","14,259.00","13,962.00","13,928.00","14,050.00","-","122.00","0.88","1,02,785","144.83","17,820.00","10,802.20","-4.55","29.21"
